KE	ensembl
https://identifiers.org/aop.events/1262	"ENSG00000108091"
https://identifiers.org/aop.events/1262	"ENSG00000124762"
https://identifiers.org/aop.events/1391	"ENSG00000130649"
https://identifiers.org/aop.events/1392	"ENSG00000121691"
https://identifiers.org/aop.events/1392	"ENSG00000160226"
https://identifiers.org/aop.events/1492	"ENSG00000108691"
https://identifiers.org/aop.events/1492	"ENSG00000114013"
https://identifiers.org/aop.events/1492	"ENSG00000164400"
https://identifiers.org/aop.events/1492	"ENSG00000077279"
https://identifiers.org/aop.events/1493	"ENSG00000134575"
https://identifiers.org/aop.events/1493	"ENSG00000108691"
https://identifiers.org/aop.events/1493	"ENSG00000151849"
https://identifiers.org/aop.events/1493	"ENSG00000163599"
https://identifiers.org/aop.events/1502	"ENSG00000108091"
https://identifiers.org/aop.events/1503	"ENSG00000108091"
https://identifiers.org/aop.events/1508	"ENSG00000130649"
https://identifiers.org/aop.events/1512	"ENSG00000118217"
https://identifiers.org/aop.events/1739	"ENSG00000130234"
https://identifiers.org/aop.events/1739	"ENSG00000135744"
https://identifiers.org/aop.events/177	"ENSG00000156709"
https://identifiers.org/aop.events/177	"ENSG00000121691"
https://identifiers.org/aop.events/18	"ENSG00000106546"
https://identifiers.org/aop.events/18	"ENSG00000110711"
https://identifiers.org/aop.events/18	"ENSG00000143437"
https://identifiers.org/aop.events/1825	"ENSG00000163568"
https://identifiers.org/aop.events/1825	"ENSG00000107201"
https://identifiers.org/aop.events/1841	"ENSG00000122783"
https://identifiers.org/aop.events/188	"ENSG00000114013"
https://identifiers.org/aop.events/192	"ENSG00000133742"
https://identifiers.org/aop.events/1969	"ENSG00000121691"
https://identifiers.org/aop.events/1974	"ENSG00000149311"
https://identifiers.org/aop.events/2097	"ENSG00000108691"
https://identifiers.org/aop.events/277	"ENSG00000147571"
https://identifiers.org/aop.events/277	"ENSG00000101191"
https://identifiers.org/aop.events/341	"ENSG00000138356"
https://identifiers.org/aop.events/352	"ENSG00000122783"
https://identifiers.org/aop.events/386	"ENSG00000133742"
https://identifiers.org/aop.events/55	"ENSG00000156709"
https://identifiers.org/aop.events/618	"ENSG00000133742"
https://identifiers.org/aop.events/682	"ENSG00000131050"
https://identifiers.org/aop.events/757	"ENSG00000133742"
https://identifiers.org/aop.events/757	"ENSG00000164879"
https://identifiers.org/aop.events/758	"ENSG00000133742"
https://identifiers.org/aop.events/850	"ENSG00000122507"
https://identifiers.org/aop.events/850	"ENSG00000140505"
https://identifiers.org/aop.events/851	"ENSG00000160111"
https://identifiers.org/aop.events/875	"ENSG00000138356"
https://identifiers.org/aop.events/889	"ENSG00000162174"
https://identifiers.org/aop.events/889	"ENSG00000107518"
https://identifiers.org/aop.events/889	"ENSG00000108578"
https://identifiers.org/aop.events/896	"ENSG00000138356"
https://identifiers.org/aop.events/957	"ENSG00000163631"
https://identifiers.org/aop.events/957	"ENSG00000139726"
https://identifiers.org/aop.events/958	"ENSG00000163631"
https://identifiers.org/aop.events/958	"ENSG00000130770"
https://identifiers.org/aop.events/958	"ENSG00000163599"
https://identifiers.org/aop.events/959	"ENSG00000163631"
https://identifiers.org/aop.events/961	"ENSG00000163631"
https://identifiers.org/aop.events/961	"ENSG00000140505"
https://identifiers.org/aop.events/961	"ENSG00000165841"
https://identifiers.org/aop.events/961	"ENSG00000160868"
https://identifiers.org/aop.events/1262	"ENSG00000077782"
https://identifiers.org/aop.events/1262	"ENSG00000116478"
https://identifiers.org/aop.events/1339	"ENSG00000148180"
https://identifiers.org/aop.events/1392	"ENSG00000111846"
https://identifiers.org/aop.events/1392	"ENSG00000149735"
https://identifiers.org/aop.events/1488	"ENSG00000115419"
https://identifiers.org/aop.events/1488	"ENSG00000086730"
https://identifiers.org/aop.events/1492	"ENSG00000117560"
https://identifiers.org/aop.events/1492	"ENSG00000131095"
https://identifiers.org/aop.events/1492	"ENSG00000150782"
https://identifiers.org/aop.events/1492	"ENSG00000113520"
https://identifiers.org/aop.events/1492	"ENSG00000136244"
https://identifiers.org/aop.events/1492	"ENSG00000123384"
https://identifiers.org/aop.events/1493	"ENSG00000111846"
https://identifiers.org/aop.events/1493	"ENSG00000112115"
https://identifiers.org/aop.events/1493	"ENSG00000109471"
https://identifiers.org/aop.events/1493	"ENSG00000113520"
https://identifiers.org/aop.events/1493	"ENSG00000136244"
https://identifiers.org/aop.events/1493	"ENSG00000117595"
https://identifiers.org/aop.events/1493	"ENSG00000113263"
https://identifiers.org/aop.events/1493	"ENSG00000002549"
https://identifiers.org/aop.events/1502	"ENSG00000077782"
https://identifiers.org/aop.events/1502	"ENSG00000111846"
https://identifiers.org/aop.events/1502	"ENSG00000163517"
https://identifiers.org/aop.events/1502	"ENSG00000094631"
https://identifiers.org/aop.events/1502	"ENSG00000147099"
https://identifiers.org/aop.events/1502	"ENSG00000048052"
https://identifiers.org/aop.events/1503	"ENSG00000077782"
https://identifiers.org/aop.events/1503	"ENSG00000048052"
https://identifiers.org/aop.events/1512	"ENSG00000044574"
https://identifiers.org/aop.events/177	"ENSG00000124882"
https://identifiers.org/aop.events/177	"ENSG00000111846"
https://identifiers.org/aop.events/18	"ENSG00000111846"
https://identifiers.org/aop.events/188	"ENSG00000131095"
https://identifiers.org/aop.events/188	"ENSG00000113520"
https://identifiers.org/aop.events/188	"ENSG00000136244"
https://identifiers.org/aop.events/195	"ENSG00000105464"
https://identifiers.org/aop.events/1968	"ENSG00000137090"
https://identifiers.org/aop.events/1968	"ENSG00000158856"
https://identifiers.org/aop.events/201	"ENSG00000105464"
https://identifiers.org/aop.events/2097	"ENSG00000136244"
https://identifiers.org/aop.events/2097	"ENSG00000117595"
https://identifiers.org/aop.events/2146	"ENSG00000100030"
https://identifiers.org/aop.events/382	"ENSG00000132535"
https://identifiers.org/aop.events/383	"ENSG00000111846"
https://identifiers.org/aop.events/383	"ENSG00000115419"
https://identifiers.org/aop.events/52	"ENSG00000124882"
https://identifiers.org/aop.events/55	"ENSG00000117560"
https://identifiers.org/aop.events/55	"ENSG00000143543"
https://identifiers.org/aop.events/875	"ENSG00000105464"
https://identifiers.org/aop.events/888	"ENSG00000111846"
https://identifiers.org/aop.events/888	"ENSG00000116679"
https://identifiers.org/aop.events/890	"ENSG00000124882"
https://identifiers.org/aop.events/890	"ENSG00000163431"
https://identifiers.org/aop.events/896	"ENSG00000101210"
https://identifiers.org/aop.events/896	"ENSG00000163431"
https://identifiers.org/aop.events/958	"ENSG00000151914"
https://identifiers.org/aop.events/958	"ENSG00000102119"
https://identifiers.org/aop.events/958	"ENSG00000162769"
https://identifiers.org/aop.events/958	"ENSG00000111846"
https://identifiers.org/aop.events/959	"ENSG00000102119"
https://identifiers.org/aop.events/961	"ENSG00000163431"
https://identifiers.org/aop.events/1115	"ENSG00000047936"
https://identifiers.org/aop.events/122	"ENSG00000113580"
https://identifiers.org/aop.events/1262	"ENSG00000109320"
https://identifiers.org/aop.events/1339	"ENSG00000076685"
https://identifiers.org/aop.events/1339	"ENSG00000166794"
https://identifiers.org/aop.events/1392	"ENSG00000047936"
https://identifiers.org/aop.events/1487	"ENSG00000104044"
https://identifiers.org/aop.events/1488	"ENSG00000103490"
https://identifiers.org/aop.events/1492	"ENSG00000047936"
https://identifiers.org/aop.events/1493	"ENSG00000124102"
https://identifiers.org/aop.events/1493	"ENSG00000047936"
https://identifiers.org/aop.events/1508	"ENSG00000104044"
https://identifiers.org/aop.events/1510	"ENSG00000047936"
https://identifiers.org/aop.events/1513	"ENSG00000107643"
https://identifiers.org/aop.events/1538	"ENSG00000113580"
https://identifiers.org/aop.events/1538	"ENSG00000047936"
https://identifiers.org/aop.events/1656	"ENSG00000166794"
https://identifiers.org/aop.events/177	"ENSG00000164951"
https://identifiers.org/aop.events/177	"ENSG00000047936"
https://identifiers.org/aop.events/18	"ENSG00000124151"
https://identifiers.org/aop.events/18	"ENSG00000110801"
https://identifiers.org/aop.events/18	"ENSG00000110958"
https://identifiers.org/aop.events/1825	"ENSG00000138722"
https://identifiers.org/aop.events/1825	"ENSG00000143799"
https://identifiers.org/aop.events/1825	"ENSG00000166794"
https://identifiers.org/aop.events/1841	"ENSG00000104044"
https://identifiers.org/aop.events/1841	"ENSG00000151093"
https://identifiers.org/aop.events/188	"ENSG00000047936"
https://identifiers.org/aop.events/195	"ENSG00000166794"
https://identifiers.org/aop.events/1968	"ENSG00000047936"
https://identifiers.org/aop.events/1969	"ENSG00000047936"
https://identifiers.org/aop.events/1974	"ENSG00000135679"
https://identifiers.org/aop.events/1974	"ENSG00000166794"
https://identifiers.org/aop.events/1974	"ENSG00000142507"
https://identifiers.org/aop.events/1983	"ENSG00000124733"
https://identifiers.org/aop.events/201	"ENSG00000166794"
https://identifiers.org/aop.events/2024	"ENSG00000154415"
https://identifiers.org/aop.events/2097	"ENSG00000047936"
https://identifiers.org/aop.events/2146	"ENSG00000102882"
https://identifiers.org/aop.events/281	"ENSG00000163531"
https://identifiers.org/aop.events/381	"ENSG00000064300"
https://identifiers.org/aop.events/381	"ENSG00000121879"
https://identifiers.org/aop.events/381	"ENSG00000122194"
https://identifiers.org/aop.events/381	"ENSG00000166794"
https://identifiers.org/aop.events/381	"ENSG00000164985"
https://identifiers.org/aop.events/381	"ENSG00000067560"
https://identifiers.org/aop.events/383	"ENSG00000122585"
https://identifiers.org/aop.events/383	"ENSG00000166794"
https://identifiers.org/aop.events/383	"ENSG00000142507"
https://identifiers.org/aop.events/383	"ENSG00000035928"
https://identifiers.org/aop.events/383	"ENSG00000049541"
https://identifiers.org/aop.events/383	"ENSG00000163918"
https://identifiers.org/aop.events/385	"ENSG00000059915"
https://identifiers.org/aop.events/52	"ENSG00000100362"
https://identifiers.org/aop.events/55	"ENSG00000089250"
https://identifiers.org/aop.events/618	"ENSG00000166794"
https://identifiers.org/aop.events/667	"ENSG00000166794"
https://identifiers.org/aop.events/682	"ENSG00000146733"
https://identifiers.org/aop.events/682	"ENSG00000125650"
https://identifiers.org/aop.events/682	"ENSG00000115386"
https://identifiers.org/aop.events/682	"ENSG00000132541"
https://identifiers.org/aop.events/850	"ENSG00000156738"
https://identifiers.org/aop.events/851	"ENSG00000100362"
https://identifiers.org/aop.events/875	"ENSG00000166794"
https://identifiers.org/aop.events/887	"ENSG00000165264"
https://identifiers.org/aop.events/887	"ENSG00000047936"
https://identifiers.org/aop.events/888	"ENSG00000165264"
https://identifiers.org/aop.events/888	"ENSG00000166794"
https://identifiers.org/aop.events/889	"ENSG00000151623"
https://identifiers.org/aop.events/889	"ENSG00000154553"
https://identifiers.org/aop.events/896	"ENSG00000147065"
https://identifiers.org/aop.events/896	"ENSG00000166794"
https://identifiers.org/aop.events/958	"ENSG00000160013"
https://identifiers.org/aop.events/961	"ENSG00000100294"
https://identifiers.org/aop.events/1262	"ENSG00000141510"
https://identifiers.org/aop.events/1392	"ENSG00000108823"
https://identifiers.org/aop.events/1392	"ENSG00000142784"
https://identifiers.org/aop.events/1487	"ENSG00000136810"
https://identifiers.org/aop.events/1488	"ENSG00000110436"
https://identifiers.org/aop.events/1488	"ENSG00000079215"
https://identifiers.org/aop.events/1488	"ENSG00000105281"
https://identifiers.org/aop.events/1488	"ENSG00000134294"
https://identifiers.org/aop.events/1488	"ENSG00000092068"
https://identifiers.org/aop.events/1492	"ENSG00000137462"
https://identifiers.org/aop.events/1492	"ENSG00000136869"
https://identifiers.org/aop.events/1492	"ENSG00000121858"
https://identifiers.org/aop.events/1492	"ENSG00000142784"
https://identifiers.org/aop.events/1493	"ENSG00000146477"
https://identifiers.org/aop.events/1493	"ENSG00000164458"
https://identifiers.org/aop.events/1493	"ENSG00000042832"
https://identifiers.org/aop.events/1493	"ENSG00000112715"
https://identifiers.org/aop.events/1513	"ENSG00000141510"
https://identifiers.org/aop.events/1538	"ENSG00000136810"
https://identifiers.org/aop.events/1635	"ENSG00000138385"
https://identifiers.org/aop.events/1656	"ENSG00000005022"
https://identifiers.org/aop.events/1656	"ENSG00000144339"
https://identifiers.org/aop.events/1686	"ENSG00000166220"
https://identifiers.org/aop.events/1739	"ENSG00000138079"
https://identifiers.org/aop.events/177	"ENSG00000102683"
https://identifiers.org/aop.events/1825	"ENSG00000164458"
https://identifiers.org/aop.events/1825	"ENSG00000164342"
https://identifiers.org/aop.events/1825	"ENSG00000136869"
https://identifiers.org/aop.events/1825	"ENSG00000104689"
https://identifiers.org/aop.events/1825	"ENSG00000120889"
https://identifiers.org/aop.events/1825	"ENSG00000067182"
https://identifiers.org/aop.events/1825	"ENSG00000121858"
https://identifiers.org/aop.events/1841	"ENSG00000031698"
https://identifiers.org/aop.events/1841	"ENSG00000104835"
https://identifiers.org/aop.events/1841	"ENSG00000164458"
https://identifiers.org/aop.events/1968	"ENSG00000110911"
https://identifiers.org/aop.events/1974	"ENSG00000141510"
https://identifiers.org/aop.events/277	"ENSG00000005022"
https://identifiers.org/aop.events/277	"ENSG00000105641"
https://identifiers.org/aop.events/277	"ENSG00000090534"
https://identifiers.org/aop.events/277	"ENSG00000115705"
https://identifiers.org/aop.events/279	"ENSG00000005022"
https://identifiers.org/aop.events/279	"ENSG00000105641"
https://identifiers.org/aop.events/279	"ENSG00000042832"
https://identifiers.org/aop.events/279	"ENSG00000090534"
https://identifiers.org/aop.events/279	"ENSG00000115705"
https://identifiers.org/aop.events/280	"ENSG00000147100"
https://identifiers.org/aop.events/280	"ENSG00000005022"
https://identifiers.org/aop.events/280	"ENSG00000166220"
https://identifiers.org/aop.events/281	"ENSG00000005022"
https://identifiers.org/aop.events/281	"ENSG00000090534"
https://identifiers.org/aop.events/281	"ENSG00000115705"
https://identifiers.org/aop.events/352	"ENSG00000031698"
https://identifiers.org/aop.events/352	"ENSG00000104835"
https://identifiers.org/aop.events/381	"ENSG00000071564"
https://identifiers.org/aop.events/381	"ENSG00000028137"
https://identifiers.org/aop.events/402	"ENSG00000166220"
https://identifiers.org/aop.events/424	"ENSG00000005022"
https://identifiers.org/aop.events/424	"ENSG00000105641"
https://identifiers.org/aop.events/424	"ENSG00000138385"
https://identifiers.org/aop.events/425	"ENSG00000123561"
https://identifiers.org/aop.events/425	"ENSG00000005022"
https://identifiers.org/aop.events/425	"ENSG00000105641"
https://identifiers.org/aop.events/425	"ENSG00000042832"
https://identifiers.org/aop.events/425	"ENSG00000090534"
https://identifiers.org/aop.events/425	"ENSG00000115705"
https://identifiers.org/aop.events/55	"ENSG00000163659"
https://identifiers.org/aop.events/616	"ENSG00000091137"
https://identifiers.org/aop.events/618	"ENSG00000166220"
https://identifiers.org/aop.events/756	"ENSG00000005022"
https://identifiers.org/aop.events/757	"ENSG00000166220"
https://identifiers.org/aop.events/851	"ENSG00000064651"
https://identifiers.org/aop.events/851	"ENSG00000124140"
https://identifiers.org/aop.events/851	"ENSG00000157005"
https://identifiers.org/aop.events/851	"ENSG00000146469"
https://identifiers.org/aop.events/889	"ENSG00000124107"
https://identifiers.org/aop.events/890	"ENSG00000088827"
https://identifiers.org/aop.events/896	"ENSG00000126549"
https://identifiers.org/aop.events/957	"ENSG00000123561"
https://identifiers.org/aop.events/957	"ENSG00000005022"
https://identifiers.org/aop.events/957	"ENSG00000118271"
https://identifiers.org/aop.events/957	"ENSG00000152818"
https://identifiers.org/aop.events/958	"ENSG00000123561"
https://identifiers.org/aop.events/958	"ENSG00000005022"
https://identifiers.org/aop.events/958	"ENSG00000102100"
https://identifiers.org/aop.events/958	"ENSG00000118271"
https://identifiers.org/aop.events/959	"ENSG00000005022"
https://identifiers.org/aop.events/959	"ENSG00000118271"
https://identifiers.org/aop.events/961	"ENSG00000123561"
https://identifiers.org/aop.events/961	"ENSG00000155380"
https://identifiers.org/aop.events/961	"ENSG00000112394"
https://identifiers.org/aop.events/961	"ENSG00000147100"
https://identifiers.org/aop.events/961	"ENSG00000005022"
https://identifiers.org/aop.events/961	"ENSG00000102100"
https://identifiers.org/aop.events/961	"ENSG00000084453"
https://identifiers.org/aop.events/961	"ENSG00000118271"
https://identifiers.org/aop.events/1262	"ENSG00000274618"
https://identifiers.org/aop.events/1262	"ENSG00000167815"
https://identifiers.org/aop.events/1392	"ENSG00000170890"
https://identifiers.org/aop.events/1488	"ENSG00000176697"
https://identifiers.org/aop.events/1488	"ENSG00000168621"
https://identifiers.org/aop.events/1488	"ENSG00000228750"
https://identifiers.org/aop.events/1492	"ENSG00000174951"
https://identifiers.org/aop.events/1492	"ENSG00000169194"
https://identifiers.org/aop.events/1492	"ENSG00000260314"
https://identifiers.org/aop.events/1492	"ENSG00000227877"
https://identifiers.org/aop.events/1493	"ENSG00000172216"
https://identifiers.org/aop.events/1493	"ENSG00000229150"
https://identifiers.org/aop.events/1493	"ENSG00000169429"
https://identifiers.org/aop.events/1493	"ENSG00000227877"
https://identifiers.org/aop.events/1493	"ENSG00000167207"
https://identifiers.org/aop.events/1502	"ENSG00000184260"
https://identifiers.org/aop.events/1502	"ENSG00000184678"
https://identifiers.org/aop.events/1502	"ENSG00000203811"
https://identifiers.org/aop.events/1502	"ENSG00000274618"
https://identifiers.org/aop.events/1502	"ENSG00000167815"
https://identifiers.org/aop.events/1503	"ENSG00000184260"
https://identifiers.org/aop.events/1503	"ENSG00000184678"
https://identifiers.org/aop.events/1503	"ENSG00000203811"
https://identifiers.org/aop.events/1503	"ENSG00000274618"
https://identifiers.org/aop.events/1512	"ENSG00000175197"
https://identifiers.org/aop.events/1512	"ENSG00000172071"
https://identifiers.org/aop.events/1512	"ENSG00000178607"
https://identifiers.org/aop.events/1513	"ENSG00000171791"
https://identifiers.org/aop.events/1538	"ENSG00000174951"
https://identifiers.org/aop.events/1602	"ENSG00000173402"
https://identifiers.org/aop.events/1602	"ENSG00000227877"
https://identifiers.org/aop.events/1656	"ENSG00000181104"
https://identifiers.org/aop.events/1656	"ENSG00000251655"
https://identifiers.org/aop.events/177	"ENSG00000167136"
https://identifiers.org/aop.events/18	"ENSG00000175756"
https://identifiers.org/aop.events/18	"ENSG00000197838"
https://identifiers.org/aop.events/18	"ENSG00000255974"
https://identifiers.org/aop.events/18	"ENSG00000198077"
https://identifiers.org/aop.events/18	"ENSG00000180530"
https://identifiers.org/aop.events/1841	"ENSG00000182871"
https://identifiers.org/aop.events/186	"ENSG00000224389"
https://identifiers.org/aop.events/188	"ENSG00000169194"
https://identifiers.org/aop.events/188	"ENSG00000260314"
https://identifiers.org/aop.events/188	"ENSG00000227877"
https://identifiers.org/aop.events/195	"ENSG00000188566"
https://identifiers.org/aop.events/1974	"ENSG00000198125"
https://identifiers.org/aop.events/1983	"ENSG00000176697"
https://identifiers.org/aop.events/1983	"ENSG00000170345"
https://identifiers.org/aop.events/201	"ENSG00000188566"
https://identifiers.org/aop.events/2097	"ENSG00000229150"
https://identifiers.org/aop.events/2097	"ENSG00000169429"
https://identifiers.org/aop.events/2097	"ENSG00000227877"
https://identifiers.org/aop.events/277	"ENSG00000211452"
https://identifiers.org/aop.events/277	"ENSG00000211448"
https://identifiers.org/aop.events/280	"ENSG00000211448"
https://identifiers.org/aop.events/280	"ENSG00000197406"
https://identifiers.org/aop.events/352	"ENSG00000176697"
https://identifiers.org/aop.events/352	"ENSG00000277586"
https://identifiers.org/aop.events/381	"ENSG00000176697"
https://identifiers.org/aop.events/381	"ENSG00000179284"
https://identifiers.org/aop.events/383	"ENSG00000187094"
https://identifiers.org/aop.events/385	"ENSG00000175206"
https://identifiers.org/aop.events/386	"ENSG00000188566"
https://identifiers.org/aop.events/386	"ENSG00000175206"
https://identifiers.org/aop.events/55	"ENSG00000171791"
https://identifiers.org/aop.events/55	"ENSG00000188486"
https://identifiers.org/aop.events/618	"ENSG00000183454"
https://identifiers.org/aop.events/618	"ENSG00000273079"
https://identifiers.org/aop.events/682	"ENSG00000263639"
https://identifiers.org/aop.events/757	"ENSG00000167434"
https://identifiers.org/aop.events/875	"ENSG00000188566"
https://identifiers.org/aop.events/887	"ENSG00000248905"
https://identifiers.org/aop.events/888	"ENSG00000248905"
https://identifiers.org/aop.events/888	"ENSG00000198888"
https://identifiers.org/aop.events/888	"ENSG00000198763"
https://identifiers.org/aop.events/888	"ENSG00000198840"
https://identifiers.org/aop.events/888	"ENSG00000198886"
https://identifiers.org/aop.events/888	"ENSG00000212907"
https://identifiers.org/aop.events/888	"ENSG00000198786"
https://identifiers.org/aop.events/888	"ENSG00000198695"
https://identifiers.org/aop.events/889	"ENSG00000213927"
https://identifiers.org/aop.events/889	"ENSG00000256269"
https://identifiers.org/aop.events/890	"ENSG00000211918"
https://identifiers.org/aop.events/896	"ENSG00000211918"
https://identifiers.org/aop.events/958	"ENSG00000197408"
https://identifiers.org/aop.events/958	"ENSG00000256612"
https://identifiers.org/aop.events/958	"ENSG00000167207"
https://identifiers.org/aop.events/958	"ENSG00000173599"
https://identifiers.org/aop.events/961	"ENSG00000197408"
https://identifiers.org/aop.events/961	"ENSG00000211918"
https://identifiers.org/aop.events/961	"ENSG00000173599"
https://identifiers.org/aop.events/1262	"ENSG00000172465"
https://identifiers.org/aop.events/1492	"ENSG00000232810"
https://identifiers.org/aop.events/1502	"ENSG00000171136"
https://identifiers.org/aop.events/1503	"ENSG00000171136"
https://identifiers.org/aop.events/1656	"ENSG00000270141"
https://identifiers.org/aop.events/1656	"ENSG00000180176"
https://identifiers.org/aop.events/1656	"ENSG00000184470"
https://identifiers.org/aop.events/18	"ENSG00000197122"
https://identifiers.org/aop.events/18	"ENSG00000170348"
https://identifiers.org/aop.events/18	"ENSG00000173465"
https://identifiers.org/aop.events/186	"ENSG00000180176"
https://identifiers.org/aop.events/188	"ENSG00000232810"
https://identifiers.org/aop.events/192	"ENSG00000180176"
https://identifiers.org/aop.events/1974	"ENSG00000187079"
https://identifiers.org/aop.events/277	"ENSG00000180176"
https://identifiers.org/aop.events/277	"ENSG00000170893"
https://identifiers.org/aop.events/279	"ENSG00000180176"
https://identifiers.org/aop.events/280	"ENSG00000180176"
https://identifiers.org/aop.events/281	"ENSG00000196415"
https://identifiers.org/aop.events/281	"ENSG00000180176"
https://identifiers.org/aop.events/424	"ENSG00000180176"
https://identifiers.org/aop.events/425	"ENSG00000180176"
https://identifiers.org/aop.events/55	"ENSG00000232810"
https://identifiers.org/aop.events/756	"ENSG00000170921"
https://identifiers.org/aop.events/756	"ENSG00000180176"
https://identifiers.org/aop.events/851	"ENSG00000189056"
https://identifiers.org/aop.events/890	"ENSG00000171951"
https://identifiers.org/aop.events/958	"ENSG00000185739"
https://identifiers.org/aop.events/958	"ENSG00000180176"
https://identifiers.org/aop.events/959	"ENSG00000180176"
https://identifiers.org/aop.events/961	"ENSG00000180176"
https://identifiers.org/aop.events/961	"ENSG00000241635"
https://identifiers.org/aop.events/961	"ENSG00000167165"
