Ensembl	KEid	AOPid
ENSG00000000005	https://identifiers.org/aop.events/960	https://identifiers.org/aop/152
ENSG00000002549	https://identifiers.org/aop.events/1493	https://identifiers.org/aop/17
ENSG00000005022	https://identifiers.org/aop.events/424; https://identifiers.org/aop.events/425; https://identifiers.org/aop.events/280; https://identifiers.org/aop.events/1656; https://identifiers.org/aop.events/281; https://identifiers.org/aop.events/960; https://identifiers.org/aop.events/958; https://identifiers.org/aop.events/957; https://identifiers.org/aop.events/959; https://identifiers.org/aop.events/277; https://identifiers.org/aop.events/756; https://identifiers.org/aop.events/279; https://identifiers.org/aop.events/961	https://identifiers.org/aop/134; https://identifiers.org/aop/54; https://identifiers.org/aop/65; https://identifiers.org/aop/134; https://identifiers.org/aop/54; https://identifiers.org/aop/134; https://identifiers.org/aop/152; https://identifiers.org/aop/42; https://identifiers.org/aop/458; https://identifiers.org/aop/459; https://identifiers.org/aop/54; https://identifiers.org/aop/65; https://identifiers.org/aop/300; https://identifiers.org/aop/485; https://identifiers.org/aop/134; https://identifiers.org/aop/152; https://identifiers.org/aop/42; https://identifiers.org/aop/458; https://identifiers.org/aop/459; https://identifiers.org/aop/54; https://identifiers.org/aop/65; https://identifiers.org/aop/152; https://identifiers.org/aop/152; https://identifiers.org/aop/152; https://identifiers.org/aop/152; https://identifiers.org/aop/134; https://identifiers.org/aop/402; https://identifiers.org/aop/42; https://identifiers.org/aop/459; https://identifiers.org/aop/54; https://identifiers.org/aop/65; https://identifiers.org/aop/134; https://identifiers.org/aop/152; https://identifiers.org/aop/300; https://identifiers.org/aop/42; https://identifiers.org/aop/458; https://identifiers.org/aop/459; https://identifiers.org/aop/402; https://identifiers.org/aop/42; https://identifiers.org/aop/152; https://identifiers.org/aop/458
ENSG00000028137	https://identifiers.org/aop.events/381	https://identifiers.org/aop/12; https://identifiers.org/aop/13; https://identifiers.org/aop/54
ENSG00000031698	https://identifiers.org/aop.events/1841; https://identifiers.org/aop.events/352	https://identifiers.org/aop/374; https://identifiers.org/aop/471; https://identifiers.org/aop/12; https://identifiers.org/aop/281; https://identifiers.org/aop/374; https://identifiers.org/aop/450; https://identifiers.org/aop/471; https://identifiers.org/aop/48; https://identifiers.org/aop/500
ENSG00000033627	https://identifiers.org/aop.events/1738	https://identifiers.org/aop/395
ENSG00000035928	https://identifiers.org/aop.events/383	https://identifiers.org/aop/13
ENSG00000042832	https://identifiers.org/aop.events/1493; https://identifiers.org/aop.events/425; https://identifiers.org/aop.events/279	https://identifiers.org/aop/17; https://identifiers.org/aop/134; https://identifiers.org/aop/54; https://identifiers.org/aop/402; https://identifiers.org/aop/42
ENSG00000044574	https://identifiers.org/aop.events/1512	https://identifiers.org/aop/260; https://identifiers.org/aop/464
ENSG00000047457	https://identifiers.org/aop.events/960	https://identifiers.org/aop/152
ENSG00000047936	https://identifiers.org/aop.events/177; https://identifiers.org/aop.events/1493; https://identifiers.org/aop.events/1392; https://identifiers.org/aop.events/1115; https://identifiers.org/aop.events/1510; https://identifiers.org/aop.events/887; https://identifiers.org/aop.events/1968; https://identifiers.org/aop.events/188; https://identifiers.org/aop.events/1538; https://identifiers.org/aop.events/1869; https://identifiers.org/aop.events/2097; https://identifiers.org/aop.events/1969; https://identifiers.org/aop.events/1492	https://identifiers.org/aop/3; https://identifiers.org/aop/48; https://identifiers.org/aop/17; https://identifiers.org/aop/17; https://identifiers.org/aop/429; https://identifiers.org/aop/464; https://identifiers.org/aop/483; https://identifiers.org/aop/500; https://identifiers.org/aop/260; https://identifiers.org/aop/450; https://identifiers.org/aop/471; https://identifiers.org/aop/3; https://identifiers.org/aop/500; https://identifiers.org/aop/12; https://identifiers.org/aop/17; https://identifiers.org/aop/3; https://identifiers.org/aop/374; https://identifiers.org/aop/429; https://identifiers.org/aop/471; https://identifiers.org/aop/48; https://identifiers.org/aop/490; https://identifiers.org/aop/17; https://identifiers.org/aop/488; https://identifiers.org/aop/483; https://identifiers.org/aop/459; https://identifiers.org/aop/17; https://identifiers.org/aop/483
ENSG00000048052	https://identifiers.org/aop.events/1502; https://identifiers.org/aop.events/1503	https://identifiers.org/aop/275; https://identifiers.org/aop/449; https://identifiers.org/aop/275
ENSG00000049541	https://identifiers.org/aop.events/383	https://identifiers.org/aop/13
ENSG00000059915	https://identifiers.org/aop.events/385	https://identifiers.org/aop/13; https://identifiers.org/aop/54
ENSG00000064300	https://identifiers.org/aop.events/381	https://identifiers.org/aop/12; https://identifiers.org/aop/13; https://identifiers.org/aop/54
ENSG00000064651	https://identifiers.org/aop.events/851	https://identifiers.org/aop/54
ENSG00000067182	https://identifiers.org/aop.events/1825	https://identifiers.org/aop/464
ENSG00000067560	https://identifiers.org/aop.events/381	https://identifiers.org/aop/12; https://identifiers.org/aop/13; https://identifiers.org/aop/54
ENSG00000071553	https://identifiers.org/aop.events/1738	https://identifiers.org/aop/395
ENSG00000071564	https://identifiers.org/aop.events/381	https://identifiers.org/aop/12; https://identifiers.org/aop/13; https://identifiers.org/aop/54
ENSG00000073578	https://identifiers.org/aop.events/1738	https://identifiers.org/aop/395
ENSG00000075213	https://identifiers.org/aop.events/1738	https://identifiers.org/aop/395
ENSG00000076685	https://identifiers.org/aop.events/1339	https://identifiers.org/aop/214; https://identifiers.org/aop/499; https://identifiers.org/aop/500
ENSG00000077279	https://identifiers.org/aop.events/1492	https://identifiers.org/aop/17; https://identifiers.org/aop/483
ENSG00000077782	https://identifiers.org/aop.events/1262; https://identifiers.org/aop.events/1502; https://identifiers.org/aop.events/1503	https://identifiers.org/aop/500; https://identifiers.org/aop/275; https://identifiers.org/aop/449; https://identifiers.org/aop/275
ENSG00000079215	https://identifiers.org/aop.events/1488	https://identifiers.org/aop/17
ENSG00000084453	https://identifiers.org/aop.events/960; https://identifiers.org/aop.events/961	https://identifiers.org/aop/152; https://identifiers.org/aop/152; https://identifiers.org/aop/458
ENSG00000086730	https://identifiers.org/aop.events/1488; https://identifiers.org/aop.events/960	https://identifiers.org/aop/17; https://identifiers.org/aop/152
ENSG00000088827	https://identifiers.org/aop.events/890	https://identifiers.org/aop/3; https://identifiers.org/aop/471
ENSG00000089250	https://identifiers.org/aop.events/55	https://identifiers.org/aop/12; https://identifiers.org/aop/13; https://identifiers.org/aop/17; https://identifiers.org/aop/281; https://identifiers.org/aop/48; https://identifiers.org/aop/490
ENSG00000090534	https://identifiers.org/aop.events/425; https://identifiers.org/aop.events/281; https://identifiers.org/aop.events/277; https://identifiers.org/aop.events/279	https://identifiers.org/aop/134; https://identifiers.org/aop/54; https://identifiers.org/aop/134; https://identifiers.org/aop/152; https://identifiers.org/aop/42; https://identifiers.org/aop/458; https://identifiers.org/aop/459; https://identifiers.org/aop/54; https://identifiers.org/aop/65; https://identifiers.org/aop/134; https://identifiers.org/aop/402; https://identifiers.org/aop/42; https://identifiers.org/aop/459; https://identifiers.org/aop/54; https://identifiers.org/aop/65; https://identifiers.org/aop/402; https://identifiers.org/aop/42
ENSG00000091137	https://identifiers.org/aop.events/616	https://identifiers.org/aop/10
ENSG00000092068	https://identifiers.org/aop.events/1488; https://identifiers.org/aop.events/960	https://identifiers.org/aop/17; https://identifiers.org/aop/152
ENSG00000094631	https://identifiers.org/aop.events/1502	https://identifiers.org/aop/275; https://identifiers.org/aop/449
ENSG00000099250	https://identifiers.org/aop.events/1738	https://identifiers.org/aop/395
ENSG00000100030	https://identifiers.org/aop.events/2146	https://identifiers.org/aop/499; https://identifiers.org/aop/500
ENSG00000100294	https://identifiers.org/aop.events/960; https://identifiers.org/aop.events/961	https://identifiers.org/aop/152; https://identifiers.org/aop/152; https://identifiers.org/aop/458
ENSG00000100362	https://identifiers.org/aop.events/851; https://identifiers.org/aop.events/52	https://identifiers.org/aop/54; https://identifiers.org/aop/12; https://identifiers.org/aop/13
ENSG00000101187	https://identifiers.org/aop.events/960	https://identifiers.org/aop/152
ENSG00000101191	https://identifiers.org/aop.events/277	https://identifiers.org/aop/134; https://identifiers.org/aop/402; https://identifiers.org/aop/42; https://identifiers.org/aop/459; https://identifiers.org/aop/54; https://identifiers.org/aop/65
ENSG00000101210	https://identifiers.org/aop.events/896	https://identifiers.org/aop/3; https://identifiers.org/aop/464; https://identifiers.org/aop/471
ENSG00000102100	https://identifiers.org/aop.events/958; https://identifiers.org/aop.events/961	https://identifiers.org/aop/152; https://identifiers.org/aop/152; https://identifiers.org/aop/458
ENSG00000102119	https://identifiers.org/aop.events/960; https://identifiers.org/aop.events/958; https://identifiers.org/aop.events/959	https://identifiers.org/aop/152; https://identifiers.org/aop/152; https://identifiers.org/aop/152
ENSG00000102683	https://identifiers.org/aop.events/177	https://identifiers.org/aop/3; https://identifiers.org/aop/48
ENSG00000102882	https://identifiers.org/aop.events/2146	https://identifiers.org/aop/499; https://identifiers.org/aop/500
ENSG00000103257	https://identifiers.org/aop.events/960	https://identifiers.org/aop/152
ENSG00000103490	https://identifiers.org/aop.events/1488	https://identifiers.org/aop/17
ENSG00000104044	https://identifiers.org/aop.events/1738; https://identifiers.org/aop.events/1869; https://identifiers.org/aop.events/1841; https://identifiers.org/aop.events/1508; https://identifiers.org/aop.events/1487	https://identifiers.org/aop/395; https://identifiers.org/aop/488; https://identifiers.org/aop/374; https://identifiers.org/aop/471; https://identifiers.org/aop/260; https://identifiers.org/aop/17
ENSG00000104689	https://identifiers.org/aop.events/1825	https://identifiers.org/aop/464
ENSG00000104835	https://identifiers.org/aop.events/1841; https://identifiers.org/aop.events/352	https://identifiers.org/aop/374; https://identifiers.org/aop/471; https://identifiers.org/aop/12; https://identifiers.org/aop/281; https://identifiers.org/aop/374; https://identifiers.org/aop/450; https://identifiers.org/aop/471; https://identifiers.org/aop/48; https://identifiers.org/aop/500
ENSG00000105281	https://identifiers.org/aop.events/1488	https://identifiers.org/aop/17
ENSG00000105464	https://identifiers.org/aop.events/875; https://identifiers.org/aop.events/201; https://identifiers.org/aop.events/195	https://identifiers.org/aop/475; https://identifiers.org/aop/48; https://identifiers.org/aop/12; https://identifiers.org/aop/13; https://identifiers.org/aop/12; https://identifiers.org/aop/13
ENSG00000105641	https://identifiers.org/aop.events/424; https://identifiers.org/aop.events/425; https://identifiers.org/aop.events/277; https://identifiers.org/aop.events/279	https://identifiers.org/aop/134; https://identifiers.org/aop/54; https://identifiers.org/aop/65; https://identifiers.org/aop/134; https://identifiers.org/aop/54; https://identifiers.org/aop/134; https://identifiers.org/aop/402; https://identifiers.org/aop/42; https://identifiers.org/aop/459; https://identifiers.org/aop/54; https://identifiers.org/aop/65; https://identifiers.org/aop/402; https://identifiers.org/aop/42
ENSG00000106546	https://identifiers.org/aop.events/18	https://identifiers.org/aop/458; https://identifiers.org/aop/459
ENSG00000107201	https://identifiers.org/aop.events/1825	https://identifiers.org/aop/464
ENSG00000107518	https://identifiers.org/aop.events/889	https://identifiers.org/aop/3
ENSG00000107643	https://identifiers.org/aop.events/1513	https://identifiers.org/aop/260
ENSG00000108091	https://identifiers.org/aop.events/1262; https://identifiers.org/aop.events/1502; https://identifiers.org/aop.events/1503	https://identifiers.org/aop/500; https://identifiers.org/aop/275; https://identifiers.org/aop/449; https://identifiers.org/aop/275
ENSG00000108578	https://identifiers.org/aop.events/889	https://identifiers.org/aop/3
ENSG00000108691	https://identifiers.org/aop.events/1493; https://identifiers.org/aop.events/2097; https://identifiers.org/aop.events/1492	https://identifiers.org/aop/17; https://identifiers.org/aop/483; https://identifiers.org/aop/17; https://identifiers.org/aop/483
ENSG00000108823	https://identifiers.org/aop.events/1392	https://identifiers.org/aop/17; https://identifiers.org/aop/429; https://identifiers.org/aop/464; https://identifiers.org/aop/483
ENSG00000109320	https://identifiers.org/aop.events/1262; https://identifiers.org/aop.events/1869	https://identifiers.org/aop/500; https://identifiers.org/aop/488
ENSG00000109471	https://identifiers.org/aop.events/1493	https://identifiers.org/aop/17
ENSG00000110436	https://identifiers.org/aop.events/1488	https://identifiers.org/aop/17
ENSG00000110711	https://identifiers.org/aop.events/18	https://identifiers.org/aop/458; https://identifiers.org/aop/459
ENSG00000110801	https://identifiers.org/aop.events/18	https://identifiers.org/aop/458; https://identifiers.org/aop/459
ENSG00000110911	https://identifiers.org/aop.events/1968	https://identifiers.org/aop/500
ENSG00000110958	https://identifiers.org/aop.events/18	https://identifiers.org/aop/458; https://identifiers.org/aop/459
ENSG00000111700	https://identifiers.org/aop.events/960	https://identifiers.org/aop/152
ENSG00000111846	https://identifiers.org/aop.events/177; https://identifiers.org/aop.events/1493; https://identifiers.org/aop.events/1392; https://identifiers.org/aop.events/888; https://identifiers.org/aop.events/18; https://identifiers.org/aop.events/383; https://identifiers.org/aop.events/960; https://identifiers.org/aop.events/958; https://identifiers.org/aop.events/1738; https://identifiers.org/aop.events/1502	https://identifiers.org/aop/3; https://identifiers.org/aop/48; https://identifiers.org/aop/17; https://identifiers.org/aop/17; https://identifiers.org/aop/429; https://identifiers.org/aop/464; https://identifiers.org/aop/483; https://identifiers.org/aop/3; https://identifiers.org/aop/458; https://identifiers.org/aop/459; https://identifiers.org/aop/13; https://identifiers.org/aop/152; https://identifiers.org/aop/152; https://identifiers.org/aop/395; https://identifiers.org/aop/275; https://identifiers.org/aop/449
ENSG00000112115	https://identifiers.org/aop.events/1493	https://identifiers.org/aop/17
ENSG00000112394	https://identifiers.org/aop.events/960; https://identifiers.org/aop.events/961	https://identifiers.org/aop/152; https://identifiers.org/aop/152; https://identifiers.org/aop/458
ENSG00000112715	https://identifiers.org/aop.events/1493; https://identifiers.org/aop.events/1738	https://identifiers.org/aop/17; https://identifiers.org/aop/395
ENSG00000113263	https://identifiers.org/aop.events/1493	https://identifiers.org/aop/17
ENSG00000113520	https://identifiers.org/aop.events/1493; https://identifiers.org/aop.events/188; https://identifiers.org/aop.events/1492	https://identifiers.org/aop/17; https://identifiers.org/aop/12; https://identifiers.org/aop/17; https://identifiers.org/aop/3; https://identifiers.org/aop/374; https://identifiers.org/aop/429; https://identifiers.org/aop/471; https://identifiers.org/aop/48; https://identifiers.org/aop/490; https://identifiers.org/aop/17; https://identifiers.org/aop/483
ENSG00000113580	https://identifiers.org/aop.events/122; https://identifiers.org/aop.events/1538	https://identifiers.org/aop/214; https://identifiers.org/aop/17
ENSG00000114013	https://identifiers.org/aop.events/188; https://identifiers.org/aop.events/1492	https://identifiers.org/aop/12; https://identifiers.org/aop/17; https://identifiers.org/aop/3; https://identifiers.org/aop/374; https://identifiers.org/aop/429; https://identifiers.org/aop/471; https://identifiers.org/aop/48; https://identifiers.org/aop/490; https://identifiers.org/aop/17; https://identifiers.org/aop/483
ENSG00000115020	https://identifiers.org/aop.events/1738	https://identifiers.org/aop/395
ENSG00000115386	https://identifiers.org/aop.events/682	https://identifiers.org/aop/10
ENSG00000115419	https://identifiers.org/aop.events/1488; https://identifiers.org/aop.events/383	https://identifiers.org/aop/17; https://identifiers.org/aop/13
ENSG00000115705	https://identifiers.org/aop.events/425; https://identifiers.org/aop.events/281; https://identifiers.org/aop.events/277; https://identifiers.org/aop.events/279	https://identifiers.org/aop/134; https://identifiers.org/aop/54; https://identifiers.org/aop/134; https://identifiers.org/aop/152; https://identifiers.org/aop/42; https://identifiers.org/aop/458; https://identifiers.org/aop/459; https://identifiers.org/aop/54; https://identifiers.org/aop/65; https://identifiers.org/aop/134; https://identifiers.org/aop/402; https://identifiers.org/aop/42; https://identifiers.org/aop/459; https://identifiers.org/aop/54; https://identifiers.org/aop/65; https://identifiers.org/aop/402; https://identifiers.org/aop/42
ENSG00000116478	https://identifiers.org/aop.events/1262	https://identifiers.org/aop/500
ENSG00000116679	https://identifiers.org/aop.events/888	https://identifiers.org/aop/3
ENSG00000117560	https://identifiers.org/aop.events/55; https://identifiers.org/aop.events/1492	https://identifiers.org/aop/12; https://identifiers.org/aop/13; https://identifiers.org/aop/17; https://identifiers.org/aop/281; https://identifiers.org/aop/48; https://identifiers.org/aop/490; https://identifiers.org/aop/17; https://identifiers.org/aop/483
ENSG00000117595	https://identifiers.org/aop.events/1493; https://identifiers.org/aop.events/2097	https://identifiers.org/aop/17; https://identifiers.org/aop/483
ENSG00000118217	https://identifiers.org/aop.events/1512	https://identifiers.org/aop/260; https://identifiers.org/aop/464
ENSG00000118257	https://identifiers.org/aop.events/1738	https://identifiers.org/aop/395
ENSG00000118271	https://identifiers.org/aop.events/960; https://identifiers.org/aop.events/958; https://identifiers.org/aop.events/957; https://identifiers.org/aop.events/959; https://identifiers.org/aop.events/961	https://identifiers.org/aop/152; https://identifiers.org/aop/152; https://identifiers.org/aop/152; https://identifiers.org/aop/152; https://identifiers.org/aop/152; https://identifiers.org/aop/458
ENSG00000120889	https://identifiers.org/aop.events/1825	https://identifiers.org/aop/464
ENSG00000121691	https://identifiers.org/aop.events/177; https://identifiers.org/aop.events/1392; https://identifiers.org/aop.events/1969	https://identifiers.org/aop/3; https://identifiers.org/aop/48; https://identifiers.org/aop/17; https://identifiers.org/aop/429; https://identifiers.org/aop/464; https://identifiers.org/aop/483; https://identifiers.org/aop/459
ENSG00000121858	https://identifiers.org/aop.events/1825; https://identifiers.org/aop.events/1492	https://identifiers.org/aop/464; https://identifiers.org/aop/17; https://identifiers.org/aop/483
ENSG00000121879	https://identifiers.org/aop.events/381	https://identifiers.org/aop/12; https://identifiers.org/aop/13; https://identifiers.org/aop/54
ENSG00000122133	https://identifiers.org/aop.events/960	https://identifiers.org/aop/152
ENSG00000122194	https://identifiers.org/aop.events/381	https://identifiers.org/aop/12; https://identifiers.org/aop/13; https://identifiers.org/aop/54
ENSG00000122420	https://identifiers.org/aop.events/1738	https://identifiers.org/aop/395
ENSG00000122507	https://identifiers.org/aop.events/850	https://identifiers.org/aop/459
ENSG00000122585	https://identifiers.org/aop.events/383	https://identifiers.org/aop/13
ENSG00000122783	https://identifiers.org/aop.events/1841; https://identifiers.org/aop.events/352	https://identifiers.org/aop/374; https://identifiers.org/aop/471; https://identifiers.org/aop/12; https://identifiers.org/aop/281; https://identifiers.org/aop/374; https://identifiers.org/aop/450; https://identifiers.org/aop/471; https://identifiers.org/aop/48; https://identifiers.org/aop/500
ENSG00000123384	https://identifiers.org/aop.events/1492	https://identifiers.org/aop/17; https://identifiers.org/aop/483
ENSG00000123561	https://identifiers.org/aop.events/425; https://identifiers.org/aop.events/960; https://identifiers.org/aop.events/958; https://identifiers.org/aop.events/957; https://identifiers.org/aop.events/961	https://identifiers.org/aop/134; https://identifiers.org/aop/54; https://identifiers.org/aop/152; https://identifiers.org/aop/152; https://identifiers.org/aop/152; https://identifiers.org/aop/152; https://identifiers.org/aop/458
ENSG00000124102	https://identifiers.org/aop.events/1493	https://identifiers.org/aop/17
ENSG00000124107	https://identifiers.org/aop.events/889	https://identifiers.org/aop/3
ENSG00000124140	https://identifiers.org/aop.events/851	https://identifiers.org/aop/54
ENSG00000124151	https://identifiers.org/aop.events/18	https://identifiers.org/aop/458; https://identifiers.org/aop/459
ENSG00000124733	https://identifiers.org/aop.events/1983	https://identifiers.org/aop/442
ENSG00000124762	https://identifiers.org/aop.events/1262	https://identifiers.org/aop/500
ENSG00000124882	https://identifiers.org/aop.events/177; https://identifiers.org/aop.events/52; https://identifiers.org/aop.events/1738; https://identifiers.org/aop.events/890	https://identifiers.org/aop/3; https://identifiers.org/aop/48; https://identifiers.org/aop/12; https://identifiers.org/aop/13; https://identifiers.org/aop/395; https://identifiers.org/aop/3; https://identifiers.org/aop/471
ENSG00000125650	https://identifiers.org/aop.events/682	https://identifiers.org/aop/10
ENSG00000126549	https://identifiers.org/aop.events/896	https://identifiers.org/aop/3; https://identifiers.org/aop/464; https://identifiers.org/aop/471
ENSG00000130234	https://identifiers.org/aop.events/1738; https://identifiers.org/aop.events/1739	https://identifiers.org/aop/395; https://identifiers.org/aop/374; https://identifiers.org/aop/395
ENSG00000130649	https://identifiers.org/aop.events/1391; https://identifiers.org/aop.events/1508	https://identifiers.org/aop/450; https://identifiers.org/aop/260
ENSG00000130770	https://identifiers.org/aop.events/958	https://identifiers.org/aop/152
ENSG00000131050	https://identifiers.org/aop.events/682	https://identifiers.org/aop/10
ENSG00000131095	https://identifiers.org/aop.events/188; https://identifiers.org/aop.events/1492	https://identifiers.org/aop/12; https://identifiers.org/aop/17; https://identifiers.org/aop/3; https://identifiers.org/aop/374; https://identifiers.org/aop/429; https://identifiers.org/aop/471; https://identifiers.org/aop/48; https://identifiers.org/aop/490; https://identifiers.org/aop/17; https://identifiers.org/aop/483
ENSG00000132535	https://identifiers.org/aop.events/382	https://identifiers.org/aop/13
ENSG00000132541	https://identifiers.org/aop.events/682	https://identifiers.org/aop/10
ENSG00000133742	https://identifiers.org/aop.events/192; https://identifiers.org/aop.events/386; https://identifiers.org/aop.events/758; https://identifiers.org/aop.events/757; https://identifiers.org/aop.events/618	https://identifiers.org/aop/65; https://identifiers.org/aop/13; https://identifiers.org/aop/17; https://identifiers.org/aop/405; https://identifiers.org/aop/429; https://identifiers.org/aop/475; https://identifiers.org/aop/54; https://identifiers.org/aop/134; https://identifiers.org/aop/152; https://identifiers.org/aop/300; https://identifiers.org/aop/42; https://identifiers.org/aop/458; https://identifiers.org/aop/459; https://identifiers.org/aop/490; https://identifiers.org/aop/134; https://identifiers.org/aop/152; https://identifiers.org/aop/300; https://identifiers.org/aop/42; https://identifiers.org/aop/442; https://identifiers.org/aop/450; https://identifiers.org/aop/471; https://identifiers.org/aop/48
ENSG00000134294	https://identifiers.org/aop.events/1488	https://identifiers.org/aop/17
ENSG00000134538	https://identifiers.org/aop.events/960	https://identifiers.org/aop/152
ENSG00000134575	https://identifiers.org/aop.events/1493	https://identifiers.org/aop/17
ENSG00000135047	https://identifiers.org/aop.events/1738	https://identifiers.org/aop/395
ENSG00000135679	https://identifiers.org/aop.events/1974	https://identifiers.org/aop/441
ENSG00000135744	https://identifiers.org/aop.events/1739	https://identifiers.org/aop/374; https://identifiers.org/aop/395
ENSG00000136244	https://identifiers.org/aop.events/1493; https://identifiers.org/aop.events/188; https://identifiers.org/aop.events/2097; https://identifiers.org/aop.events/1492	https://identifiers.org/aop/17; https://identifiers.org/aop/12; https://identifiers.org/aop/17; https://identifiers.org/aop/3; https://identifiers.org/aop/374; https://identifiers.org/aop/429; https://identifiers.org/aop/471; https://identifiers.org/aop/48; https://identifiers.org/aop/490; https://identifiers.org/aop/483; https://identifiers.org/aop/17; https://identifiers.org/aop/483
ENSG00000136810	https://identifiers.org/aop.events/1538; https://identifiers.org/aop.events/1487	https://identifiers.org/aop/17; https://identifiers.org/aop/17
ENSG00000136869	https://identifiers.org/aop.events/1825; https://identifiers.org/aop.events/1492	https://identifiers.org/aop/464; https://identifiers.org/aop/17; https://identifiers.org/aop/483
ENSG00000137090	https://identifiers.org/aop.events/1968	https://identifiers.org/aop/500
ENSG00000137462	https://identifiers.org/aop.events/1492	https://identifiers.org/aop/17; https://identifiers.org/aop/483
ENSG00000137509	https://identifiers.org/aop.events/960	https://identifiers.org/aop/152
ENSG00000137648	https://identifiers.org/aop.events/1738	https://identifiers.org/aop/395
ENSG00000137747	https://identifiers.org/aop.events/1738	https://identifiers.org/aop/395
ENSG00000138079	https://identifiers.org/aop.events/1739	https://identifiers.org/aop/374; https://identifiers.org/aop/395
ENSG00000138356	https://identifiers.org/aop.events/875; https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/896	https://identifiers.org/aop/475; https://identifiers.org/aop/48; https://identifiers.org/aop/12; https://identifiers.org/aop/13; https://identifiers.org/aop/17; https://identifiers.org/aop/442; https://identifiers.org/aop/475; https://identifiers.org/aop/48; https://identifiers.org/aop/483; https://identifiers.org/aop/490; https://identifiers.org/aop/499; https://identifiers.org/aop/500; https://identifiers.org/aop/54; https://identifiers.org/aop/3; https://identifiers.org/aop/464; https://identifiers.org/aop/471
ENSG00000138385	https://identifiers.org/aop.events/424; https://identifiers.org/aop.events/1635	https://identifiers.org/aop/134; https://identifiers.org/aop/54; https://identifiers.org/aop/65; https://identifiers.org/aop/483
ENSG00000138722	https://identifiers.org/aop.events/1825	https://identifiers.org/aop/464
ENSG00000139155	https://identifiers.org/aop.events/960	https://identifiers.org/aop/152
ENSG00000139726	https://identifiers.org/aop.events/957	https://identifiers.org/aop/152
ENSG00000140465	https://identifiers.org/aop.events/960	https://identifiers.org/aop/152
ENSG00000140505	https://identifiers.org/aop.events/850; https://identifiers.org/aop.events/960; https://identifiers.org/aop.events/961	https://identifiers.org/aop/459; https://identifiers.org/aop/152; https://identifiers.org/aop/152; https://identifiers.org/aop/458
ENSG00000140988	https://identifiers.org/aop.events/1738	https://identifiers.org/aop/395
