Ensembl_source	Ensembl	fromPublication	fromSTRING	fromDisGeNET	fromWikiPathways	gLayCluster	snpID	CNVassociated	PathwayID_target	PathwayID	PathwayTitle
ENSG00000100294	ENSG00000100294			1		187					
ENSG00000067182	ENSG00000067182			1		157					
ENSG00000028137	ENSG00000028137			1		157					
ENSG00000064300	ENSG00000064300			1		157					
ENSG00000109471	ENSG00000109471			1		157					
ENSG00000134982	ENSG00000134982			1		157					
ENSG00000157017	ENSG00000157017			1		155					
ENSG00000105976	ENSG00000105976			1		157					
ENSG00000118271	ENSG00000118271			1		157					
ENSG00000150782	ENSG00000150782			1		157					
ENSG00000047457	ENSG00000047457			1		159					
ENSG00000108691	ENSG00000108691			1		157					
ENSG00000146469	ENSG00000146469			1		155					
ENSG00000132670	ENSG00000132670			1		157					
ENSG00000163599	ENSG00000163599			1		157					
ENSG00000148737	ENSG00000148737			1		157					
ENSG00000103546	ENSG00000103546			1		165					
ENSG00000090339	ENSG00000090339			1		157					
ENSG00000100362	ENSG00000100362			1		155					
ENSG00000168621	ENSG00000168621			1		157					
ENSG00000125538	ENSG00000125538			1		157					
ENSG00000170458	ENSG00000170458			1		157					
ENSG00000113520	ENSG00000113520			1		157					
ENSG00000136244	ENSG00000136244			1		157					
ENSG00000136634	ENSG00000136634			1		157					
ENSG00000133636	ENSG00000133636			1		155					
ENSG00000110092	ENSG00000110092			1		157					
ENSG00000134460	ENSG00000134460			1		157					
ENSG00000121879	ENSG00000121879			1		157					
ENSG00000015475	ENSG00000015475			1		157					
ENSG00000196396	ENSG00000196396			1		157					
ENSG00000126456	ENSG00000126456	1				157	rs2304205				
ENSG00000175445	ENSG00000175445			1		157					
ENSG00000123384	ENSG00000123384			1		157					
ENSG00000164342	ENSG00000164342			1		157					
ENSG00000164399	ENSG00000164399			1		157					
ENSG00000164400	ENSG00000164400			1		157					
ENSG00000064651	ENSG00000064651			1		155					
ENSG00000132693	ENSG00000132693			1		157					
ENSG00000176697	ENSG00000176697			1	1	157			WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000157005	ENSG00000157005			1	1	155			WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000142208	ENSG00000142208			1	1	157		1	WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000170345	ENSG00000170345				1	157			WP408	WP408	Oxidative stress response
ENSG00000112062	ENSG00000112062			1	1	157			WP408	WP408	Oxidative stress response
ENSG00000089250	ENSG00000089250			1	1	168			WP4222	WP4222	Phosphodiesterases in neuronal function
ENSG00000077782	ENSG00000077782			1	1	157		1	WP4657	WP4657	22q11.2 copy number variation syndrome
ENSG00000070193	ENSG00000070193				1	157		1	WP4657	WP4657	22q11.2 copy number variation syndrome
ENSG00000066468	ENSG00000066468			1	1	157		1	WP4657	WP4657	22q11.2 copy number variation syndrome
ENSG00000189056	ENSG00000189056			1	1	157		1	WP4657	WP4657	22q11.2 copy number variation syndrome
ENSG00000164690	ENSG00000164690				1	157		1	WP4657	WP4657	22q11.2 copy number variation syndrome
ENSG00000072310	ENSG00000072310			1	1	187		1	WP4657	WP4657	22q11.2 copy number variation syndrome
ENSG00000141510	ENSG00000141510			1	1	157		1	WP4657	WP4657	22q11.2 copy number variation syndrome
ENSG00000171791	ENSG00000171791			1	1	157		1	WP4657	WP4657	22q11.2 copy number variation syndrome
ENSG00000146648	ENSG00000146648				1	157		1	WP4657	WP4657	22q11.2 copy number variation syndrome
ENSG00000162409	ENSG00000162409				1	187		1	WP4905	WP4905	1q21.1 copy number variation syndrome
ENSG00000168036	ENSG00000168036			1	1	157		1	WP4905	WP4905	1q21.1 copy number variation syndrome
ENSG00000177606	ENSG00000177606			1	1	157		1	WP4906	WP4906	3q29 copy number variation syndrome
ENSG00000136997	ENSG00000136997				1	157		1	WP4906	WP4906	3q29 copy number variation syndrome
ENSG00000142208	ENSG00000142208			1	1	157		1	WP4906	WP4906	3q29 copy number variation syndrome
ENSG00000100644	ENSG00000100644				1	157		1	WP4906	WP4906	3q29 copy number variation syndrome
ENSG00000126561	ENSG00000126561				1	157		1	WP4906	WP4906	3q29 copy number variation syndrome
ENSG00000086730	ENSG00000086730				1	157		1	WP4932	WP4932	7q11.23 copy number variation syndrome
ENSG00000136997	ENSG00000136997				1	157		1	WP4932	WP4932	7q11.23 copy number variation syndrome
ENSG00000026103	ENSG00000026103			1	1	157		1	WP4932	WP4932	7q11.23 copy number variation syndrome
ENSG00000168036	ENSG00000168036			1	1	157		1	WP4932	WP4932	7q11.23 copy number variation syndrome
ENSG00000278540	ENSG00000278540				1	187		1	WP4932	WP4932	7q11.23 copy number variation syndrome
ENSG00000271503	ENSG00000271503				1	157		1	WP4942	WP4942	15q13.3 copy number variation syndrome
ENSG00000117984	ENSG00000117984				1	157		1	WP5346	WP5346	8p23.1 copy number variation syndrome
ENSG00000137462	ENSG00000137462			1	1	157		1	WP5346	WP5346	8p23.1 copy number variation syndrome
ENSG00000164733	ENSG00000164733				1	157		1	WP5346	WP5346	8p23.1 copy number variation syndrome
ENSG00000168036	ENSG00000168036			1	1	157		1	WP5346	WP5346	8p23.1 copy number variation syndrome
ENSG00000144381	ENSG00000144381				1	157		1	WP5346	WP5346	8p23.1 copy number variation syndrome
ENSG00000136869	ENSG00000136869			1	1	157		1	WP5346	WP5346	8p23.1 copy number variation syndrome
ENSG00000103126	ENSG00000103126				1	157		1	WP5346	WP5346	8p23.1 copy number variation syndrome
ENSG00000100030	ENSG00000100030			1	1	157		1	WP5346	WP5346	8p23.1 copy number variation syndrome
ENSG00000100030	ENSG00000100030			1	1	157		1	WP5399	WP5399	NPHP1 deletion syndrome
ENSG00000109320	ENSG00000109320				1	157		1	WP5402	WP5402	10q22q23 copy number variation
ENSG00000108823	ENSG00000108823				1	168		1	WP5406	WP5406	13q12.12 copy number variation
ENSG00000067560	ENSG00000067560				1	157		1	WP5406	WP5406	13q12.12 copy number variation
ENSG00000107643	ENSG00000107643			1	1	157		1	WP5406	WP5406	13q12.12 copy number variation
ENSG00000271503	ENSG00000271503				1	157		1	WP5407	WP5407	15q11q13 copy number variation
ENSG00000142192	ENSG00000142192				1	157		1	WP5407	WP5407	15q11q13 copy number variation
ENSG00000173039	ENSG00000173039			1	1	157		1	WP5407	WP5407	15q11q13 copy number variation
ENSG00000138798	ENSG00000138798			1	1	157		1	WP5408	WP5408	15q25 copy number variation
ENSG00000232810	ENSG00000232810			1	1	157		1	WP5412	WP5412	8q11.23 (RB1CC1) copy number variation
ENSG00000141510	ENSG00000141510			1	1	157		1	WP5412	WP5412	8q11.23 (RB1CC1) copy number variation
